fraction,train_accuracy_mean,train_accuracy_std,validation_accuracy_mean,validation_accuracy_std,test_accuracy_mean,test_accuracy_std,train_macro_f1_mean,train_macro_f1_std,validation_macro_f1_mean,validation_macro_f1_std,test_macro_f1_mean,test_macro_f1_std,train_validation_gap_mean,train_validation_gap_std,train_test_gap_mean,train_test_gap_std,n_groups_mean,n_groups_std,n_rows_mean,n_rows_std
0.2,0.9732770745428972,0.00644525414199133,0.8902116402116403,0.015023567052381687,0.8666666666666667,0.00679235610811322,0.9735011559236754,0.0063213519952644605,0.8905190723903309,0.015781441190269533,0.8673645004522359,0.007588266818303973,0.08306543433125708,0.009707253083375738,0.10661040787623062,0.008433901788903323,79.0,0.0,237.0,0.0
0.35,0.9806763285024154,0.006390703649914425,0.9140211640211641,0.01145536248392109,0.9111111111111111,0.014846819204706546,0.9807724657576475,0.0063595135418189315,0.914295255414702,0.011089031724247366,0.9116286774292902,0.014727457387647967,0.06665516448125146,0.00873011326685685,0.06956521739130435,0.014945888454094166,138.0,0.0,414.0,0.0
0.5,0.9767573696145124,0.005972592830415379,0.9193121693121693,0.004582144993568507,0.9241830065359476,0.005990295026086063,0.9769062517472488,0.005859140184279953,0.9198556119875146,0.004280330532623318,0.9245295439117452,0.006021887752272924,0.05744520030234316,0.0026790338017304623,0.052574363078564744,0.0016245135106866693,196.0,0.0,588.0,0.0
0.65,0.9764705882352941,0.005228758169934622,0.9206349206349206,0.007936507936507978,0.9307189542483659,0.0022641187027044067,0.9766076576372532,0.005194602008450739,0.9207839810195032,0.008293338125350642,0.9312356195629313,0.0024245599945271258,0.05583566760037347,0.011481556991091376,0.04575163398692805,0.003458498445836054,255.0,0.0,765.0,0.0
0.8,0.9780608634111818,0.0016215766790360698,0.9206349206349206,0.003968253968254065,0.9424836601307188,0.011980590052172089,0.9781738385564678,0.0016147685900057506,0.9212205134195122,0.004018757054920829,0.9427981033807792,0.011686243026055903,0.057425942776261264,0.003154581243480761,0.03557720328046295,0.012317254061616023,314.0,0.0,942.0,0.0
1.0,0.9787955894826124,0.0,0.9325396825396824,0.0,0.9333333333333332,0.0,0.9789353791904443,0.0,0.9326660331538381,0.0,0.9334919122059571,0.0,0.0462559069429298,0.0,0.04546225614927901,0.0,393.0,0.0,1179.0,0.0
